date,link,html
Jan 11 2012 CST,http://wcfcourier.com/news/local/scott-apparently-obtains-abbey-insurance/article_48724b8f-ea15-5862-9d13-bdc7fd1b9396.html,"<h2 class=""timeline-img-hed"">Scott apparently obtains abbey insurance</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/c/34/c34f645d-bc8e-5643-9775-098b862958d1/4e9c43b3742cc.preview-100.jpg"" width=""100"">"
Jan 10 2012 CST,http://wcfcourier.com/news/local/monk-ordered-to-leave-independence-abbey/article_6562f244-9fcb-52e5-b94d-df733cedc9b8.html,"<h2 class=""timeline-img-hed"">Monk ordered to leave Independence abbey</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/c/34/c34f645d-bc8e-5643-9775-098b862958d1/4e9c43b3742cc.preview-100.jpg"" width=""100"">"
Jan 09 2012 CST,http://wcfcourier.com/news/local/ryan-scott-gets-more-time-to-supply-documents/article_57c18520-1cdf-5baf-a89a-61ddbb572af3.html,"<h2 class=""timeline-img-hed"">Ryan Scott gets more time to supply documents</h2><img src="""" width=""100"">"
Jan 08 2012 CST,http://wcfcourier.com/alleged-monk-given-more-time-to-file-bankruptcy-documents/article_22e3b3f4-8f07-500f-8c63-b89824fb3974.html,"<h2 class=""timeline-img-hed"">Alleged monk given more time to file bankruptcy documents</h2><img src="""" width=""100"">"
Jan 06 2012 CST,http://wcfcourier.com/news/local/monk-s-bankruptcy-attorney-wants-more-time/article_ad5cafb8-0df4-5a56-857c-f45f81ddf716.html,"<h2 class=""timeline-img-hed"">Monk's bankruptcy attorney wants more time</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/e/fa/efaab056-36c7-5cb4-89f5-1b9458aac20e/4e9c43a6da2ee.preview-100.jpg"" width=""100"">"
Jan 05 2012 CST,http://wcfcourier.com/news/local/alleged-monk-files-for-bankruptcy-in-iowa/article_f7d8d29d-919b-58ee-9837-ec3d3a75f877.html,"<h2 class=""timeline-img-hed"">Alleged monk files for bankruptcy in Iowa</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/e/fa/efaab056-36c7-5cb4-89f5-1b9458aac20e/4e9c43a6da2ee.preview-100.jpg"" width=""100"">"
Jan 02 2012 CST,http://wcfcourier.com/news/local/buchanan-abbey-must-bring-facility-up-to-fire-code/article_cd1d34d0-8923-5cca-b376-d1c5bd3a1970.html,"<h2 class=""timeline-img-hed"">Buchanan Abbey must bring facility up to fire code</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/c/34/c34f645d-bc8e-5643-9775-098b862958d1/4e9c43b3742cc.preview-100.jpg"" width=""100"">"
Dec 31 2011 CST,http://wcfcourier.com/news/local/abbey-founder-owes-thousands-in-illinois/article_e5eed786-fe4a-5909-8ed5-9996c3751142.html,"<h2 class=""timeline-img-hed"">Abbey founder owes thousands in Illinois</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/e/fa/efaab056-36c7-5cb4-89f5-1b9458aac20e/4e9c43a6da2ee.preview-100.jpg"" width=""100"">"
Dec 26 2011 CST,http://wcfcourier.com/news/local/abbey-scott-entangled-in-financial-issues-in-illinois/article_a5bbd6fa-75e8-5e47-aaa9-196dc0151b69.html,"<h2 class=""timeline-img-hed"">Abbey - Scott entangled in financial issues in Illinois</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/e/fa/efaab056-36c7-5cb4-89f5-1b9458aac20e/4e9c43a6da2ee.preview-100.jpg"" width=""100"">"
Dec 22 2011 CST,http://wcfcourier.com/news/local/illinois-abbey-run-by-independence-monk-files-for-bankruptcy/article_09ea8d8a-2cb2-11e1-aecf-001871e3ce6c.html,"<h2 class=""timeline-img-hed"">Illinois abbey run by Independence monk files for bankruptcy</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/e/fa/efaab056-36c7-5cb4-89f5-1b9458aac20e/4e9c43a6da2ee.preview-100.jpg"" width=""100"">"
Dec 22 2011 CST,http://wcfcourier.com/document-abbey-files-for-bankruptcy/html_2ea10cb6-2cbd-11e1-b8d1-001871e3ce6c.html,"<h2 class=""timeline-img-hed"">Document: Abbey files for bankruptcy</h2><img src="""" width=""100"">"
Dec 19 2011 CST,http://wcfcourier.com/news/local/buchanan-county-checked-out-buyer-of-county-home/article_4df72fd4-5f9c-51c5-a57b-b5daa5c929ef.html,"<h2 class=""timeline-img-hed"">Buchanan County checked out buyer of county home</h2><img src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/c/34/c34f645d-bc8e-5643-9775-098b862958d1/4e9c43b3742cc.preview-100.jpg"" width=""100"">"
